the fighting highlights how easily trouble in syria can raise tensions in neighboring lebanon, with which it shares a complex web of political and sectarian ties and rivalries.	sectarian	religious	political	traditional	ethnic	group	sects	secular	interreligious	racial	denominational
#36-14 a suggestion had been the addition of a canopy over the car's cockpit.	canopy	roof	fence	shield	ceiling	border	framework	parachute	curtain	protector	hood
#39-22 hyza says they will "actively cooperate with slovak police", and "express [their] sincere condolences to the bereaved families.	condolences	sympathies	sympathy	feelings	regrets	mercy	comfort	apologies	grief	respect	praise
a man and a woman questioned on suspicion of assisting an offender have been released.	offender	suspect	accused	criminal	perpetrator	instigator	attacker	molester	assaulter	victim	abuser
the attack began with a suicide car bomb near the gate of the privately guarded compound, which sits off jalalabad road — one of the main thoroughfares out of the city, interior ministry spokesman sediq sediqi said.	compound	building	complex	site	facility	residence	place	house	home	area	structure
obama earlier dropped from night skies into kabul on a brief visit amid secrecy and tight security and signed a deal with president hamid karzai, cementing 10 years of u.s. aid for afghanistan after nato combat troops leave in 2014.	cementing	anchoring	building	fitting	fixing	laying down	securing	supplying	making	setting up	crushing
many syrians accuse assad of exploiting that divide by unleashing alawite gunmen known as "shabiha" who operate as hired muscle for the regime.	unleashing	launching	deploying	bringing	releasing	creating	starting	setting up	introducing	rolling out	laying out
the statue was moved to the accademia gallery in florence in 1873 , and later replaced at the original location by a replica .	replica	reproduction	duplicate	reverse	replication	reprint	clone	remake	similar	counterfeit	recreation
#36-12 the contract had previously been for two races, but after acquiring sponsorship, the deal was increased by five events; earlier in august, wilson recorded a best finish of second at mid-ohio sports car course.	acquiring	gaining	buying	obtaining	purchasing	getting	winning	finding	retaining	securing	stealing
on the diplomatic front, european union foreign ministers meeting in brussels on monday  agreed fresh sanctions against syria, the 15th round so far to protest the relentless repression of dissidents by assad's regime.	repression	persecution	detention	intimidation	arrest	torture	punishment	slaying	restriction	violence	killing
moments later, the neighbor said, ms. thomas, 33, emerged from her house and called her children to come back home.	emerged	appeared	rose	burst	came out	broke out	arose	showed	disappeared	came	showed up
#35-24 both men say they were starved, suffocated, stripped naked, exposed to cold temperatures, beaten, threatened, and denied legal representation.	threatened	intimidated	frightened	attacked	scarred	troubled	harassed	bullying	besieged	scared	terrorized
commander of the moesian troops , he obtained an important victory against the invading goths and was , for this reason , acclaimed emperor by his army .	acclaimed	recognized	named	declared	known	proclaimed	approved	appointed	glorified	chosen	honored
chinese officials, who refer to scarborough shoal as huangyan island, have in the past asserted chinese sovereignty over the area.	asserted	stated	declared	claimed	proclaimed	affirmed	confirmed	told	suggested	expressed	shown
