the fighting highlights how easily trouble in syria can raise tensions in neighboring lebanon, with which it shares a complex web of political and sectarian ties and rivalries.	sectarian	religious	ethnic	tribal	cultural	partisan	political	denominational	communal	linguistic	ideological
#36-14 a suggestion had been the addition of a canopy over the car's cockpit.	canopy	cover	roof	covering	awning	overhang	screen	shelter	tent	dome	sheet
#39-22 hyza says they will "actively cooperate with slovak police", and "express [their] sincere condolences to the bereaved families.	condolences	sympathies	sympathy	apologies	sorrow	regrets	sincere	pity	thoughts	deepest [T] sympathy	feelings
a man and a woman questioned on suspicion of assisting an offender have been released.	offender	criminal	perpetrator	crime	violator	victim	person	felon	predator	culprit	suspect
the attack began with a suicide car bomb near the gate of the privately guarded compound, which sits off jalalabad road — one of the main thoroughfares out of the city, interior ministry spokesman sediq sediqi said.	compound	building	place	house	site	residence	facility	establishment	structure	property	base
obama earlier dropped from night skies into kabul on a brief visit amid secrecy and tight security and signed a deal with president hamid karzai, cementing 10 years of u.s. aid for afghanistan after nato combat troops leave in 2014.	cementing	confirming	securing	binding	concluding	establishing	sealing	proving	bonding	consolidating	solidifying
many syrians accuse assad of exploiting that divide by unleashing alawite gunmen known as "shabiha" who operate as hired muscle for the regime.	unleashing	releasing	launching	letting loose	liberating	disarming	freeing	discharging	allowing	empowering	activating
the statue was moved to the accademia gallery in florence in 1873 , and later replaced at the original location by a replica .	replica	copy	duplicate	clone	imitation	reproduction	replication	representation	replicator	model	imitator
#36-12 the contract had previously been for two races, but after acquiring sponsorship, the deal was increased by five events; earlier in august, wilson recorded a best finish of second at mid-ohio sports car course.	acquiring	obtaining	buying	getting	purchasing	gaining	finding	receiving	procuring	taking	accepting
on the diplomatic front, european union foreign ministers meeting in brussels on monday  agreed fresh sanctions against syria, the 15th round so far to protest the relentless repression of dissidents by assad's regime.	repression	oppression	persecution	suppression	censorship	arrest	harassment	intimidation	detention	control	attack
moments later, the neighbor said, ms. thomas, 33, emerged from her house and called her children to come back home.	emerged	appeared	came	came out	got up	walked	arrived	returned	escaped	surfaced	entered
#35-24 both men say they were starved, suffocated, stripped naked, exposed to cold temperatures, beaten, threatened, and denied legal representation.	threatened	intimidated	harassed	threatening	bullied	warned	scared	menaced	provoked	cursed	pressured
commander of the moesian troops , he obtained an important victory against the invading goths and was , for this reason , acclaimed emperor by his army .	acclaimed	recognized	acknowledged	praised	accepted	honored	declared	hailed	approved	proclaimed	crowned
chinese officials, who refer to scarborough shoal as huangyan island, have in the past asserted chinese sovereignty over the area.	asserted	established	declared	claimed	proved	proven	affirmed	stated	confirmed	demonstrated	proclaimed
#40-7 the national government has deployed several thousand paramilitary personnel to assist the state government.	deployed	sent	sent out	moved	placed	brought	assigned	set up	shipped	transported	posted
libertyville, illinois-based motorola mobility had said in a regulatory filing in february that only chinese clearance was still required.	clearance	approval	authorization	inspection	certification	security	permission	license	check	permit	release
putin, meanwhile, officially registered on wednesday to run for the presidency in march, but the unusually sustained protests of the past two days suggested his drive to retake the job he held from 2000-2008 may not go as smoothly as he had expected.	sustained	persistent	prolonged	continued	continuous	constant	long	strong	consistent	intense	enduring
sunday's parliamentary vote suggested russians are tiring of putin and his united russia party, which has dominated all other political forces in the country for a dozen years and earned a reputation for corruption.	dominated	controlled	ruled	conquered	overruled	led	prevailed	overpowered	predominated	taken over	held
#36-15 the topic had been controversial: while some supported it for safety reasons, others opposed it because of history, possibly affecting the aerodynamics of the car, limiting one's peripheral vision and movement inside the car, and worry about escaping an upside-down or burning car.	controversial	unpopular	debated	questionable	contentious	disputed	disputable	disagreeable	contested	debatable	uncertain
google on saturday said that chinese regulators approved its $12.5 billion deal to buy motorola mobility, clearing the path for the internet titan to complete the acquisition early next week.	acquisition	purchase	merger	transaction	takeover	transfer	addition	acquiring	buying	investment	taking over
president barack obama made a surprise visit on tuesday to afghanistan, where he will sign an agreement outlining the u.s.' role in the country as the decade-long war there winds down.	outlining	describing	explaining	defining	showing	detailing	setting out	laying out	clarifying	illustrating	summarizing
#26-15 västerås is in central sweden, approximately 115 km (70 miles) west from the capital stockholm.	approximately	about	roughly	around	nearly	near	within	almost	generally	at least	close to
the text is an indication that it was premeditated, goodyear said.	indication	hint	sign	warning	clue	evidence	suggestion	signal	proof	confirmation	notice
their strongest emissions are in the infrared ( ir ) spectrum , and ground-based ir detectors were too imprecise at that time to readily identify any brown dwarfs .	emissions	emission	signals	outputs	sounds	noise	radiation	radiations	activity	output	vibrations
#21-15 eventually, f1 mandated the use of the "virtual safety car", which requires drivers to enter the pit lane at slower speeds instead of proceeding around the track.	mandated	required	ordered	directed	commanded	forced	demanded	prescribed	imposed	dictated	obliged
#6-3 artist's rendition of manning as she views herself.	rendition	representation	portrayal	imitation	depiction	rendering	interpretation	re-creation	impression	recreation	illustration
